id,position,timestamp,direction,speed,class
1,"(174, 535)",02/03/2021 11:42:37,2,35.75,2
2,"(1055, 604)",02/03/2021 11:42:40,1,44.51,2
3,"(891, 568)",02/03/2021 11:42:42,1,41.61,2
5,"(1109, 555)",02/03/2021 11:42:50,1,27.4,2
9,"(166, 561)",02/03/2021 11:43:00,2,31.6,2
12,"(189, 574)",02/03/2021 11:43:12,2,34.13,2
19,"(1037, 579)",02/03/2021 11:43:28,1,33.42,2
25,"(1057, 591)",02/03/2021 11:43:37,1,40.14,7
26,"(169, 527)",02/03/2021 11:43:40,2,27.93,2
27,"(1027, 586)",02/03/2021 11:43:43,1,34.66,2
28,"(1067, 585)",02/03/2021 11:43:45,1,55.31,2
32,"(89, 544)",02/03/2021 11:43:53,2,24.59,2
34,"(255, 595)",02/03/2021 11:43:58,2,42.51,2
36,"(1066, 579)",02/03/2021 11:44:00,1,47.32,2
37,"(1037, 573)",02/03/2021 11:44:02,1,54.46,2
40,"(149, 535)",02/03/2021 11:44:08,2,30.7,2
41,"(1053, 591)",02/03/2021 11:44:10,1,43.73,2
42,"(176, 526)",02/03/2021 11:44:13,2,32.18,2
43,"(72, 523)",02/03/2021 11:44:16,2,28.85,2
44,"(1059, 595)",02/03/2021 11:44:18,1,29.75,2
45,"(70, 534)",02/03/2021 11:44:21,2,36.15,2
47,"(1057, 566)",02/03/2021 11:44:23,1,50.25,7
